"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"1190","Marvin Hall","FA","WR","17.0","10.0","157.0","1.0","21.70"
"2403","Tamorrion Terry","FA","WR","18.0","11.0","156.0","1.0","21.60"
"2074","John Hightower","PHI","WR","36.0","13.4","172.7","0.6","21.17"
"1456","Cameron Batson","TEN","WR","13.3","15.2","142.2","0.9","20.89"
"1507","Chad Beebe","MIN","WR","31.0","17.1","199.7","0.0","19.97"
"2519","Ihmir Smith-Marsette","MIN","WR","13.6","11.5","145.6","0.9","19.66"
"856","Jakeem Grant","CHI","WR","62.6","14.4","161.6","0.4","19.55"
"1843","Steven Sims","PIT","WR","28.3","13.3","150.5","0.7","19.25"
"122","Dez Bryant","FA","WR","24.0","12.0","138.0","0.9","19.20"
"1448","Trent Sherfield","SF","WR","34.3","13.6","150.7","0.7","18.97"
"1574","Lil'Jordan Humphrey","NO","WR","31.6","13.0","150.3","0.7","18.93"
"1243","Equanimeous St. Brown","GB","WR","25.0","11.8","143.0","0.7","18.50"
"2406","Jaelon Darden","TB","WR","24.9","9.6","129.2","0.9","18.32"
"1240","Dante Pettis","NYG","WR","22.1","10.4","130.5","0.6","17.97"
"2384","Damonte Coxie","FA","WR","23.0","16.0","179.0","0.0","17.90"
"985","Noah Brown","DAL","WR","27.0","9.5","157.6","0.4","17.89"
"971","John Ross","NYG","WR","62.4","11.9","159.8","0.3","17.83"
"695","Jake Kumerow","BUF","WR","25.0","12.3","128.5","0.8","17.39"
"742","Laquon Treadwell","JAC","WR","37.0","14.3","172.8","0.0","17.28"
"147","Andre Roberts","LAC","WR","4.0","10.2","136.6","0.7","17.26"
"333","Tavon Austin","JAC","WR","2.0","12.1","127.3","0.6","17.01"
"1770","Christian Blake","ATL","WR","25.0","11.9","134.4","0.5","16.44"
"2389","Frank Darby","ATL","WR","27.6","11.0","139.4","0.4","16.39"
"976","Isaiah Ford","MIA","WR","25.0","10.5","121.0","0.7","16.30"
"1811","Trinity Benson","DET","WR","34.0","10.6","127.0","0.5","15.79"
"1139","Marcus Johnson","TEN","WR","30.0","10.9","114.4","0.7","15.34"
"1738","Terry Godwin","JAC","WR","0.0","8.1","103.6","0.4","14.49"
"1366","Justin Watson","KC","WR","9.0","8.6","98.6","0.8","14.36"
"2199","Nick Westbrook","TEN","WR","11.0","7.6","96.7","0.7","13.57"
"756","Mike Thomas","CIN","WR","19.9","8.7","96.7","0.6","13.27"
