,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,test_rank_top,test_median_top,test_points_median_top,test_rank_bottom,test_median_bottom,test_points_median_bottom
0,True,True,False,6,RF,250.1609010201357,10.075385569963409,38.816534156977966,1.283536264825059,341.23946004516944,13.841367062030677,131.12949784535877,6.365515897201482,380.73241156025483,14.948676426993131,7.329924325896007,395.88866006538746,12.857171323778818,1.4557057976296917
0,False,True,False,6,RF,254.38056571517234,10.616522334979066,39.26996079673083,0.9039884349203045,309.11052469950613,14.143856189774723,127.6831973992498,4.9026799141634765,389.326958745276,19.232068364953356,6.435274899095418,441.6466598554159,12.026963718758381,1.5229637653696455
0,True,False,False,6,RF,257.14529294208137,9.496082670511875,39.63410718325836,1.3350512006965567,330.837895471863,13.242234683482835,117.13596375417312,5.579482131899873,402.95487982585496,18.82425920436172,6.282142465276783,416.8226803654557,10.356317012559858,1.3373698764884367
0,False,False,False,6,RF,252.2070630889371,10.091314433134944,38.899411357900036,1.1529431431167856,255.72173619231074,12.739758185723462,108.30530185304359,2.6115276246179464,440.129573271673,18.82425920436172,5.612905707104755,424.07739681014596,11.657517339253124,0.9858203866314462
0,True,True,True,9,RF,204.43243339316746,7.502351894139297,22.008822689535265,0.5889104656433202,428.6079483145268,11.354910014669528,125.17007911486316,4.323518642273917,656.1456836877804,40.69361916237019,5.388469037948039,391.0749671898881,11.30117414301528,0.9698882696906467
0,False,True,True,9,RF,278.2826664423079,10.169489086348108,29.047865526551924,1.1901527228475162,310.1169088232158,19.514701612034592,132.42218908024904,4.874504281291847,531.1713633109695,24.360806029173993,4.4007766056110516,425.7504182703896,12.721087662755911,1.0566860750159581
0,True,False,True,9,RF,224.35235639050535,7.1129189451571815,28.105010275394605,1.070806111973339,476.36197963749333,23.544977438121784,126.97347211977484,3.9346405485119353,616.5956008125652,36.64512052106455,4.6724173635761845,391.8958941246615,10.447417735858092,0.9763576377332959
0,False,False,True,9,RF,247.78757808412848,8.06358382497601,27.485006221563943,1.1928437891660817,270.2517903266148,18.556804273087984,111.94618930313408,3.7795214058345747,545.9654239904826,17.716949839399266,3.699953843132361,423.92499879080043,10.479516371446923,1.123601398721598
0,True,True,False,9,RF,242.9009263189647,9.05586562717986,24.980966654373645,0.7201039599827889,502.377167236626,19.931568569324178,136.9012276648066,5.005311870923203,569.2164098554766,33.219280948873624,4.878536011986355,400.1655393007346,11.294555522617031,1.1867841238880266
0,False,True,False,9,RF,229.2294169257505,7.900980501931345,23.47487459087393,0.7037847636005791,242.43901525521807,10.090846870010493,120.97588524165926,4.075858052836636,440.5324703608877,23.253496664211536,5.082051593450282,392.6225283511218,10.94816076339357,1.0023132991721135
