,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,False,True,True,100,RF,212.2543214496667,7.504979686490655,418.8696278135176,14.373298738554567,231.460214960328,16.38789859486011,1680.3302868665176,61.90358410564254,211.90171411562662,5.722706232293572,129.8594294348844
0,True,False,True,100,RF,212.47550055119848,8.175005399563329,571.3376754264898,16.886940972788707,245.08613409707678,17.649897177448807,1452.7761749241354,54.442548017473214,162.89883287409202,5.951919076093217,114.8125374309641
0,False,False,True,100,RF,213.53480180815862,7.345420849369663,574.8902943821095,21.70111823012543,256.7402685039082,15.713682856645697,1486.5632551510623,35.872368922098374,188.73319589253188,5.386270305015739,114.92784600455894
0,True,True,False,100,RF,182.97696687502224,6.61462094985192,426.7816499839673,15.116995415546606,169.48221419796363,9.493164707458174,1540.750668919835,65.87878664819621,165.7930625945339,4.063557546459795,124.8911437822786
0,False,True,False,100,RF,196.63039490655282,8.536293129412527,437.9614709257974,17.032936344370718,158.9792846769332,6.619879092861731,1618.1092228705788,58.96096398289603,178.2458734553771,5.916473312274692,129.04334244326938
0,True,False,False,100,RF,205.01507124416577,9.40853577947074,536.3686585930236,21.1247613135434,175.70465125558684,10.288757076097077,1353.9215078408504,39.11962457298235,170.31530295970146,6.80219322982082,121.25507756418963
0,False,False,False,100,RF,206.25331936161672,8.275228525204739,570.8484058683466,21.03581580881532,180.3010296712097,12.007367953256875,1288.226125139468,40.27280517527725,172.869788334709,6.80219322982082,118.66912778401317
0,True,True,True,150,RF,182.66584421545372,8.1928578901593,824.3702397971412,36.29628717101539,219.62394180172205,10.293336138145674,1066.1520416937433,14.930219207925635,100.75965773246251,4.745005739098312,93.6031147943379
0,False,True,True,150,RF,187.5653078943036,7.091273713868166,789.7264957368095,33.025996926101264,157.42340399503632,9.345012747076685,1029.2958369094288,22.234470022292207,102.69439179976013,5.635300982599599,97.61238247596036
0,True,False,True,150,RF,196.23202899981445,7.989820459430996,951.5368743312399,40.25607763078577,213.6057257014075,12.210583253630812,924.6068058856993,15.783724050263816,86.40826634043394,4.880757703367383,93.42267666069293
0,False,False,True,150,RF,207.6080849218236,8.985726735731184,998.7810903011397,40.06430231295931,174.91979123676688,11.45303286343106,918.4370602442173,26.931482124483452,84.27927910424052,4.164784429334813,82.67145842605623
0,True,True,False,150,RF,191.39031197707772,8.16146319244242,808.9447507217847,34.20475301857638,195.86499460853622,10.771101957552684,1060.0809187150585,22.19750907758533,102.45181179979464,5.190073510738668,86.49661545769965
0,False,True,False,150,RF,197.53133645724725,6.944561970698632,781.399176214904,31.880545753193775,172.41902040934602,6.643856189774725,1063.274581794861,17.178343451942972,94.55572798379511,5.062496146837436,96.96920261733135
0,True,False,False,150,RF,198.8203153183159,9.59246191474737,919.1190983483475,32.434037745430494,175.0660930606387,13.158323925962016,1135.5520477735301,38.066971570700886,118.27151016892226,6.029719581468655,82.26446912615569
